Date,AAPL,AXP,BA,HD,JNJ,KO,NKE,PFE,PG
2009-03-19,12.631378,10.96803,25.101776,17.260544,36.131184,13.721849,8.18669,9.191654,32.998119
2009-03-20,12.62765,10.288297,24.617739,17.045176,37.293209,13.871495,7.926124,9.144691,32.485088
2009-03-23,13.382151,12.218404,26.848829,17.883589,38.419151,14.359465,8.383873,9.406351,34.017067
2009-03-24,13.237966,11.66455,27.30262,17.65283,38.036625,14.320427,8.028237,9.339257,33.53965
2009-03-25,13.236723,11.840775,28.028673,17.906658,38.1521,14.557908,8.163803,9.567371,34.245079
2009-03-26,13.656854,12.696733,29.238764,18.568161,38.180984,14.59044,8.380354,9.647882,34.743858
2009-03-27,13.281468,12.126095,28.384136,18.175873,38.130459,14.671771,8.24655,9.419768,34.60849
2009-03-30,12.988124,10.749846,26.86396,17.983578,38.260368,14.287897,8.144436,9.191654,33.689293
2009-03-31,13.066432,11.437967,26.909348,18.122026,37.964443,14.297658,8.255353,9.137978,33.553905
2009-04-01,13.510181,12.27987,26.803461,18.329718,38.282017,14.5937,8.274719,9.386222,34.351959
2009-04-02,14.009869,12.739092,28.134563,19.052752,38.231499,14.749847,8.889163,9.23862,35.214149
2009-04-03,14.417572,13.036735,28.505144,19.229666,37.639656,14.629486,9.132118,9.091018,35.363773
2009-04-06,14.72335,12.892163,28.860613,19.114283,37.675732,14.635992,9.026485,9.198366,35.378044
2009-04-07,14.294516,12.764606,27.711025,18.745075,37.069462,14.515621,8.778244,9.064178,34.686863
2009-04-08,14.458591,13.368394,27.884972,19.321968,37.134407,14.635992,8.845144,9.044052,34.537231
2009-04-09,14.862565,16.013157,29.609352,19.921926,37.105549,14.635992,9.378603,9.091018,35.050266
2009-04-13,14.943364,17.399317,28.096741,19.968079,36.917889,14.551402,9.352192,9.044052,34.230831
2009-04-14,14.705947,15.672997,28.013552,19.491184,37.076691,14.382244,9.049375,8.950124,33.667927
2009-04-15,14.622668,17.535385,28.414381,19.74502,37.365387,14.649,9.174374,9.299005,34.73674
2009-04-16,15.096249,17.594915,29.034552,19.975775,37.675732,14.671771,9.46663,9.325838,35.933815
2009-04-17,15.341124,18.547369,28.981619,20.075768,38.289246,14.64575,9.614517,9.500282,36.810257
2009-04-20,14.978167,16.14072,27.590015,19.345037,37.870605,14.421277,9.218385,9.117856,36.147579
2009-04-21,15.134782,16.642466,27.718596,19.898853,37.863403,14.017887,9.378603,9.070889,36.603619
2009-04-22,15.103704,16.523397,28.210182,20.129612,36.939552,13.965832,9.68318,8.748844,35.647736
2009-04-23,15.587236,17.833021,28.686663,19.814241,37.098343,13.962584,9.575785,8.909867,35.446503
2009-04-24,15.400788,21.515287,29.284149,20.237291,36.751888,13.920291,9.635646,8.836068,35.58305
2009-04-27,15.503956,20.605356,29.851372,19.906548,36.708591,13.741367,9.530014,9.050763,35.913651
2009-04-28,15.400788,20.537321,29.38246,20.052694,36.557014,13.754377,9.787056,8.98367,35.712425
2009-04-29,15.554915,21.217638,30.668179,20.26038,36.831268,13.894264,9.324019,9.010504,36.237083
2009-04-30,15.640681,21.447248,30.290028,20.244989,37.791225,14.004873,9.237756,8.96354,35.532734
2009-05-01,15.815953,20.656376,31.167341,19.821928,37.957222,13.816189,9.316979,9.111144,35.575874
2009-05-04,16.416321,23.199095,31.900955,20.160376,38.801682,14.043912,9.730716,9.379515,36.646729
2009-05-05,16.495874,22.595297,32.63459,20.144993,39.234726,14.03415,9.68318,9.58079,35.78429
2009-05-06,16.469772,23.080034,33.757263,20.029619,39.126461,13.969089,9.614517,9.438299,36.538937
